date,ffr,inflation,output_gap
1988-07-01,3.22785116998508,3.8020745409187207,0.5955299259234919
1988-10-01,2.9158068298645246,3.870631582865003,1.148361576673745
1989-01-01,2.790760098169402,4.137816429402319,1.391105452881361
1989-04-01,2.781229928958524,4.2332589693888645,1.3841887914506783
1989-07-01,2.973043560214477,3.7531622696060696,1.3607929565536732
1989-10-01,3.083962444971732,3.597405854742197,0.7987372905486855
1990-01-01,3.137482313349175,3.6347517730496604,1.1499394383902457
1990-04-01,3.4022073525856618,3.6911633129243393,0.7862318670378091
1990-07-01,3.622970700707185,3.821167946775339,0.15103263990897423
1990-10-01,4.034624183355808,3.8546674506277467,-1.4285162946197245
1991-01-01,4.091576597628806,3.751924721984601,-2.5307527766678497
1991-04-01,3.4146635124891587,3.355046104390502,-2.392848015252784
1991-07-01,3.0992760625559224,3.279596047709332,-2.5069793061893666
1991-10-01,1.9970735612460253,3.123803180417939,-2.7694107427840198
1992-01-01,1.2401861064434412,2.5031743152548636,-2.207752837071758
1992-04-01,1.5561096785685016,2.3687139863802997,-1.756226107663519
1992-07-01,2.3949960490215054,2.0709482506578336,-1.4053159875180905
1992-10-01,2.794365354127946,2.1669277098706807,-1.004479037075084
1993-01-01,3.0088818232421715,2.36000064349029,-1.4690307897154915
1993-04-01,2.9612636260383027,2.353881826177351,-1.5380343070339382
1993-07-01,2.917043450021445,2.460177272799613,-1.7154320979946192
1993-10-01,3.7693593965728187,2.315363583202945,-1.036207325400813
1994-01-01,3.7165911778032155,2.231721883447535,-0.7405445407809893
1994-04-01,3.6594316579066346,2.1169559579420794,-0.0680112969204882
1994-07-01,3.767257136568526,2.0966965381210345,-0.16624188962212666
1994-10-01,3.3689247114341585,2.0930519941919856,0.2847070658179434
1995-01-01,3.256733134381336,2.158406100110688,-0.05286149339934932
1995-04-01,3.4454661806108455,2.155686790489897,-0.453343666987271
1995-07-01,3.8460013718717265,2.0734137548108267,-0.30957166778057
1995-10-01,3.7055860133004974,2.0123159789992906,-0.3491811649992944
1996-01-01,3.572643913861025,1.948775055679297,-0.32990498023920856
1996-04-01,3.3289208335834855,1.8825538032978484,0.5584651856226805
1996-07-01,3.3282883254866014,1.715350223546963,0.6360641176865642
1996-10-01,3.443806076284201,1.7679426901799022,0.8082857766297148
1997-01-01,3.7435884246156292,1.8864303954418737,0.5448971738433339
1997-04-01,3.540091174726949,1.6669606632563116,1.2630874776467622
1997-07-01,3.2347223061576207,1.7772633368009272,1.5311725476368598
1997-10-01,3.31504038637807,1.5739998542592781,1.3776277608424579
1998-01-01,3.4908707504652123,1.1140890981528262,1.3543271512671802
1998-04-01,3.155864212932758,1.1523669066828557,1.2312769991574193
1998-07-01,3.4642435817468886,1.138719336634808,1.4339809785080961
1998-10-01,3.220152972925215,1.0875959537987034,1.9793031290158798
1999-01-01,3.2541403141667735,1.2723156718342565,1.842073547548107
1999-04-01,2.978039592892152,1.4151145671035925,1.597068702406144
1999-07-01,2.7986084520042973,1.345099992883081,1.8438492112780183
1999-10-01,3.095520659601833,1.6209387818829413,2.40260277045251
2000-01-01,3.2799228136962335,1.96513963951217,1.6714679687103347
2000-04-01,2.7184586382952314,2.2142665858574384,2.451811276366507
2000-07-01,3.0959364900630315,2.4494382022471894,1.5493016189667044
2000-10-01,3.102467083743617,2.4331308052238265,1.212064648042699
2001-01-01,3.587641071167452,2.4295486395360166,0.005168382445072008
2001-04-01,3.866031052529983,2.407611693325995,-0.18745682881193673
2001-07-01,4.036270314539915,2.2126562842728736,-1.340874050283705
2001-10-01,3.0477013501270784,1.9839917095054282,-1.7735663410790514
2002-01-01,1.3761535957772266,1.6323047330064178,-1.6151420374171463
2002-04-01,0.9451304779895342,1.3774809468666716,-1.6462653920434562
2002-07-01,0.5205461723106716,1.464631562005425,-1.8621337967394316
2002-10-01,0.3943535344429472,1.7341426890576495,-2.3417446789545786
2003-01-01,0.04986277383515664,1.9113119277060164,-2.424071091076749
2003-04-01,0.16852197129381918,1.9139582143473888,-2.1597911451015155
2003-07-01,1.5967241764691322,2.0079312623925816,-1.1360127423253015
2003-10-01,3.412783107308253,2.0370881467754787,-0.6003173752368739
2004-01-01,3.7076080097528847,2.2652070990439643,-0.655978774266972
2004-04-01,3.697561849545126,2.7290499152873737,-0.510881255473958
2004-07-01,3.6660419081498943,2.792572146846539,-0.20249875457533834
2004-10-01,3.588746775709141,2.962428676309581,0.17566872280798815
2005-01-01,3.5256191614834225,3.050145153658268,0.6630401478032579
2005-04-01,3.612136332970946,2.961027098345692,0.560791502766453
2005-07-01,3.6740268530249645,3.244919570369631,0.7667147210723054
