date,ffr,inflation,output_gap
1988-07-01,5.298641737301573,3.132851551793729,0.9399583108032394
1988-10-01,4.639235496520996,1.9889769597643894,0.965984757201642
1989-01-01,2.9494502544403076,3.0715203389665726,1.9471176899444183
1989-04-01,5.554398059844971,2.468963910884477,0.25305003786506275
1989-07-01,2.956496000289917,2.5891757680781673,1.5666051209886769
1989-10-01,4.450368881225586,3.042937525893571,-1.070363122861856
1990-01-01,2.4940433502197266,1.2732883171746043,0.7177228411836984
1990-04-01,1.6276555061340332,0.3160014604023813,0.8523013772622602
1990-07-01,0.32630348205566406,1.9638728522949331,2.1455230032680337
1990-10-01,4.09133243560791,3.327335346125796,-0.8922858189093199
1991-01-01,3.098717212677002,1.3225621878976945,-2.540044403964778
1991-04-01,-1.5562009811401367,-0.007439211630225984,-0.21714416373884166
1991-07-01,-1.2283028364181519,2.339757219639518,-0.4019819039881354
1991-10-01,2.107654094696045,1.54526820246764,-3.523300164228814
1992-01-01,-2.205397844314575,2.709624737302298,-0.9280431137652869
1992-04-01,2.1363940238952637,2.8956570107555026,-3.6896383054930646
1992-07-01,-0.34615278244018555,0.1522008498510048,0.11032865478557197
1992-10-01,-0.661370038986206,0.7820228294864731,-2.0006387505913694
1993-01-01,-1.8276045322418213,1.0029817360115005,-2.4448384199359623
1993-04-01,-1.9403657913208008,-1.8830582996769039,-1.7676138319604924
1993-07-01,-5.592201232910156,-2.798577623314124,-0.21288800859568002
1993-10-01,-5.410754203796387,-3.1091810609537758,-0.27573750745269177
1994-01-01,-5.939509391784668,-1.4444405859861562,-2.2959531637219337
1994-04-01,-5.462614059448242,-1.7567782934838045,-1.0501926572427829
1994-07-01,-4.685359954833984,-0.30825142311851816,-3.7155811710796858
1994-10-01,-5.1779584884643555,-0.3889283665626888,-3.0536746967822577
1995-01-01,-4.6370673179626465,0.10402290513989998,-3.487102238007444
1995-04-01,-4.33106803894043,-1.877218926313009,-2.8031582481320783
1995-07-01,-6.6189866065979,-1.8492867518044287,-1.0226044860383352
1995-10-01,-4.796534538269043,-0.016082469514721698,-2.572080798983601
1996-01-01,-3.5962045192718506,-0.6648982571901677,-2.391595792654285
1996-04-01,-4.388943672180176,-1.7600099097381228,-1.5292218754171825
1996-07-01,-5.169236660003662,-2.839589496880666,-1.2350432794838433
1996-10-01,-6.494427680969238,-0.7922966766545074,-2.1601193355375816
1997-01-01,-4.348564147949219,-3.7954952213806035,-3.066017662201767
1997-04-01,-9.759260177612305,0.008658649726941636,0.2797828235401516
1997-07-01,-0.7072290778160095,-2.342515430855798,-2.3672165529272746
1997-10-01,-6.8809895515441895,-2.853378877826701,-0.07783183237494468
1998-01-01,-5.357900142669678,-3.302807830930681,-2.050664860143441
1998-04-01,-8.004877090454102,-2.2860034345663567,-1.0928990344894902
1998-07-01,-5.521903991699219,-0.6937250849274346,-3.5670160339404893
1998-10-01,-5.607603549957275,-1.600125394536081,0.37070011121558544
1999-01-01,-3.0294878482818604,-1.5192068887769596,-2.1811950431050104
1999-04-01,-5.460005760192871,-4.343720140742491,-0.9072200741535108
1999-07-01,-8.422800064086914,-3.010164916772321,-1.1347894745426435
1999-10-01,-6.6500372886657715,-2.980865782651095,0.14716531143013034
2000-01-01,-5.324132919311523,-3.5551519317713574,0.05375356690466182
2000-04-01,-6.2789740562438965,-1.853291045890533,-0.7012627801819734
2000-07-01,-4.481199741363525,-1.2171110060771415,-2.8385970257282436
2000-10-01,-5.664263725280762,-2.5663514507668004,-0.5204035770369029
2001-01-01,-5.369930744171143,-1.566938454615102,-3.643575055339486
2001-04-01,-6.993982315063477,-1.892166748334713,-2.899882127168769
2001-07-01,-6.738132476806641,-4.1070932897494625,-2.00016670256946
2001-10-01,-9.160806655883789,-1.8991085104382672,-3.610757716229703
2002-01-01,-7.459420204162598,-4.9391337729498535,-2.4974632281919815
2002-04-01,-10.906164169311523,-2.661304387366756,-0.9642819847598573
2002-07-01,-5.956238746643066,-3.3312482283638176,-2.7095394524128062
2002-10-01,-8.706411361694336,-2.554729901198386,-0.910529650168439
2003-01-01,-5.742624759674072,-2.3063294282821123,0.7358052025208077
2003-04-01,-3.723689317703247,-2.1390418623618532,-1.2811461606038912
2003-07-01,-5.48970890045166,-1.946235855768418,-0.5829473885795474
2003-10-01,-4.502301216125488,-3.016553211640078,-0.422168423447687
2004-01-01,-5.94699764251709,-2.7184675316812683,-1.791010592158601
2004-04-01,-6.868712425231934,-1.0916674838615206,-0.9654877799924411
2004-07-01,-3.602989435195923,-1.643713010860407,-2.4154738959810116
2004-10-01,-5.881043434143066,-2.472211318180837,-1.3725332441965628
2005-01-01,-6.080850124359131,-5.249950389950625,-0.7822272886754744
2005-04-01,-9.657153129577637,-3.2125535828483778,-2.1083294815614266
2005-07-01,-7.927160263061523,-2.809440759353163,-4.4917918467939
2005-10-01,-9.705952644348145,-2.6661399367658345,-2.930677797501052
2006-01-01,-7.929887294769287,-3.189881309202654,-0.6804078147917887
2006-04-01,-6.4652299880981445,-2.098807325315252,-3.0334749082676296
2006-07-01,-7.181685924530029,-3.8566942046369554,-0.737498427560719
2006-10-01,-7.522540092468262,-1.5040094947354168,-2.8299757181084555
2007-01-01,-6.085989952087402,-1.1572485510801687,-2.160045020277793
2007-04-01,-4.895917892456055,-0.7615988022694391,-1.918115376928897
2007-07-01,-4.060513496398926,-0.6339637255664385,-3.030895866645179
2007-10-01,-4.981841087341309,-2.2277012754156242,-2.109710539515816
2008-01-01,-6.451262474060059,-0.7671429757103051,-3.550456872415918
2008-04-01,-5.701170921325684,-2.281216103344444,-2.3036076836341417
2008-07-01,-6.725432395935059,-1.0174333270825935,-1.9738121888432512
2008-10-01,-4.499961853027344,-2.13436043827173,-4.442891055477978
2009-01-01,-8.644432067871094,0.07915820935482487,-2.8927861659620673
2009-04-01,-3.7740490436553955,0.041184864092638884,-1.6034959203563015
2009-07-01,-2.5417184829711914,-1.2301037163116688,-3.1234047830498888
2009-10-01,-5.968560218811035,-1.5526485849667873,-1.1574741421108068
2010-01-01,-4.486446857452393,-2.3333398728658943,-1.2711879316161985
2010-04-01,-5.771197319030762,-2.2951216965381684,-1.349529924301232
2010-07-01,-5.79221248626709,-1.7001927123526983,-0.9783838391954435
2010-10-01,-4.52867317199707,-3.573500292149029,-3.662898276531943
2011-01-01,-10.023148536682129,-1.5611586978925642,-0.578502005382675
2011-04-01,-3.9202396869659424,-3.2806298012609307,-3.0501254471277237
2011-07-01,-8.971070289611816,-1.7639780079234693,-1.4070437312091897
2011-10-01,-5.053010940551758,-2.0894102502240584,0.08107201031348166
2012-01-01,-4.053043365478516,-2.820524268841943,-2.0924177864706275
2012-04-01,-7.323204040527344,-3.1021068424940528,-1.5228056296437258
2012-07-01,-7.175966262817383,0.056014531993577865,-3.013117938103202
2012-10-01,-3.929096221923828,0.2554746674294017,0.06622156654727651
2013-01-01,-0.5505663156509399,1.8436425916561812,-2.843483480318885
2013-04-01,-1.078019618988037,1.3642908733174997,-1.524721338566485
2013-07-01,-0.4782850742340088,2.2506227654347786,-0.7072950715768933
2013-10-01,1.668639063835144,3.1787365552421933,-1.2603682964408471
2014-01-01,2.5077362060546875,0.3492183265503255,-1.293735905164866
2014-04-01,-1.7699083089828491,-0.3398345035986795,0.6683760657642872
2014-07-01,-0.8413757085800171,2.2134059965446298,-2.2137309533580396
2014-10-01,0.10637807846069336,3.0729965628267766,-0.3530820940268462
2015-01-01,3.2564127445220947,4.3221357616441205,-1.7922043630722109
2015-04-01,3.6909995079040527,2.571019578842503,-1.484270687095521
2015-07-01,1.3722587823867798,2.524781149357439,-1.0951146080399168
2015-10-01,1.6920572519302368,0.8148062974417731,-1.3839817735061626
2016-01-01,-1.1617724895477295,0.8536548723006432,-0.20080186349638424
2016-04-01,0.0796804279088974,2.4635843838342564,0.33298046034144146
2016-07-01,3.0283570289611816,3.2297728680891336,-1.7326943889989237
2016-10-01,2.1119649410247803,2.0503128678532874,-0.886214523426105
2017-01-01,1.1892545223236084,1.988111887041836,-1.6790922688597414
2017-04-01,0.3030754327774048,0.39777552316642284,-2.2804670924395998
2017-07-01,-2.6838037967681885,0.350566947139016,-0.7051809117790084
2017-10-01,-1.1793303489685059,0.6833676856413283,-3.725259894026557
2018-01-01,-3.7002081871032715,0.9853732598095857,-0.9572176788079112
2018-04-01,-0.47915780544281006,1.2071625920215596,-0.7487019819729719
2018-07-01,0.06204193830490112,0.33872090104774766,-2.659429630180347
2018-10-01,-3.151348114013672,0.10353484866318174,-1.121078102236626
2019-01-01,-1.9657758474349976,0.7247239193983841,-0.36205153860021766
2019-04-01,-0.2749655842781067,-0.35111731074435615,-1.888801774288046
2019-07-01,-3.415477991104126,-0.6092423342869623,-1.2164856249805056
2019-10-01,-3.1303491592407227,-1.3965388584331557,-1.9672835266626616
2020-01-01,-5.062091827392578,-2.5339540417436552,-1.3371363150838538
2020-04-01,-6.138067245483398,-1.8249144299003037,-2.4384564217711695
2020-07-01,-6.175827980041504,-1.7818608613059659,-2.3426330466683525
2020-10-01,-6.015424728393555,-3.6175852748822943,-1.59329599222767
2021-01-01,-8.019674301147461,-0.9141957957867373,-2.2931673773715016
2021-04-01,-4.664461135864258,-3.6112850178555287,-3.206494210700788
2021-07-01,-9.623421669006348,-2.358825481163871,-3.731305888162868
2021-10-01,-8.26954460144043,-2.6680235556047003,-1.8826605896713484
2022-01-01,-6.884696006774902,-5.9151090316924435,-0.5615476049026338
2022-04-01,-10.434210777282715,-0.6794734365445225,-0.8026752362656433
2022-07-01,-2.821885108947754,-1.0538665241297989,-3.169892197203817
2022-10-01,-5.750691890716553,-1.9646514571563312,-2.579568858471939
2023-01-01,-6.526546478271484,-0.43020937388546665,-2.247478455356871
2023-04-01,-3.8927927017211914,-2.0437658607673352,0.12799964343051595
